run_label,sequence_length,feature_count,feature_columns,epochs,hidden_size,batch_size,learning_rate,train_size,train_inner_size,train_normal_count,validation_size,validation_anomaly_ratio,checked_threshold_percentiles,selected_threshold_percentile,threshold,precision,recall,f1,roc_auc,validation_precision,validation_recall,validation_f1,validation_roc_auc,reference_recall,reference_f1,reference_roc_auc,delta_recall,delta_f1,delta_roc_auc,train_sequence_count,test_sequence_count,sequence_count,sequence_anomaly_count,sequence_anomaly_ratio,epochs_requested,epochs_completed,best_epoch,early_stopping_patience,selection_metric,stopped_early,experiment_tag,artifact_suffix,early_stopping_enabled
2026-05-18T12:37:55.717647+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,30,16,128,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.6791375279426575,0.793939393939394,0.4185303514376997,0.5481171548117155,0.780220381405097,0.7817589576547231,0.410958904109589,0.5387205387205387,0.7790418582285608,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3302455306534803,0.394044946583336,0.2730618633480617,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,30.0,30.0,30.0,5.0,f1,0.0,stage8_full_grid_11,,
2026-05-18T12:38:00.807934+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,30,16,128,0.0005,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,1.1695270538330078,0.7146153846153847,0.3710063897763578,0.4884332281808622,0.7327888230493613,0.7052117263843648,0.3707191780821918,0.4859708193041526,0.7328529625633327,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.2827215689921384,0.3343610199524827,0.225630304992326,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,30.0,15.0,10.0,5.0,f1,1.0,stage8_full_grid_12,,
2026-05-18T12:38:06.175077+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,10,32,64,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.4717112779617309,0.820747520976354,0.4297124600638977,0.564089121887287,0.8029302093632286,0.8143322475570033,0.4280821917808219,0.5611672278338945,0.8139823078907862,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3414276392796783,0.4100169136589074,0.2957716913061933,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,10.0,10.0,10.0,5.0,f1,0.0,stage8_full_grid_13,,
2026-05-18T12:38:11.520171+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,10,32,64,0.0005,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.8156139254570007,0.7505791505791506,0.3881789137380191,0.5117136088444327,0.7599833233578193,0.752442996742671,0.3955479452054795,0.5185185185185185,0.7605536920623006,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.2998940929537997,0.3576414006160532,0.252824805300784,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,10.0,10.0,8.0,5.0,f1,0.0,stage8_full_grid_14,,
2026-05-18T12:38:16.214500+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,10,32,128,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.8010410070419312,0.7658423493044823,0.3957667731629393,0.5218536071616641,0.7589509597942524,0.7654723127035831,0.4023972602739726,0.5274971941638609,0.7588378448114093,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3074819523787199,0.3677813989332845,0.2517924417372171,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,10.0,10.0,9.0,5.0,f1,0.0,stage8_full_grid_15,,
2026-05-18T12:38:20.885293+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,10,32,128,0.0005,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.9819974899291992,0.7067448680351907,0.3849840255591054,0.4984488107549121,0.7415276223004829,0.7182410423452769,0.3775684931506849,0.494949494949495,0.7454860785325577,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.296699204774886,0.3443766025265325,0.2343691042434476,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,10.0,10.0,10.0,5.0,f1,0.0,stage8_full_grid_16,,
2026-05-18T12:38:29.105006+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,20,32,64,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.3140433430671692,0.8560371517027864,0.4416932907348243,0.5827186512118019,0.8206127229680593,0.8355048859934854,0.4392123287671233,0.5757575757575758,0.8289386493713643,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3534084699506049,0.4286464429834223,0.313454204911024,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,20.0,20.0,19.0,5.0,f1,0.0,stage8_full_grid_17,,
2026-05-18T12:38:37.466528+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,20,32,64,0.0005,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.4474658370018005,0.8367816091954023,0.4361022364217252,0.5733788395904437,0.8081973573739817,0.8241042345276873,0.4332191780821918,0.5679012345679012,0.8141687875304935,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3478174156375058,0.4193066313620641,0.3010388393169464,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,20.0,20.0,20.0,5.0,f1,0.0,stage8_full_grid_18,,
2026-05-18T12:38:43.022054+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,20,32,128,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.8010410070419312,0.7658423493044823,0.3957667731629393,0.5218536071616641,0.7589509597942524,0.7654723127035831,0.4023972602739726,0.5274971941638609,0.7588378448114093,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3074819523787199,0.3677813989332845,0.2517924417372171,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,20.0,14.0,9.0,5.0,f1,1.0,stage8_full_grid_19,,
2026-05-18T12:38:50.121701+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,20,32,128,0.0005,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.7972569465637207,0.7623839009287926,0.393370607028754,0.5189673340358272,0.7630897022564408,0.7687296416938111,0.4041095890410959,0.5297418630751964,0.7644109764965284,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3050857862445346,0.3648951258074476,0.2559311841994055,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,20.0,20.0,15.0,5.0,f1,0.0,stage8_full_grid_20,,
2026-05-18T12:39:01.701720+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,30,32,64,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.2393359243869781,0.8580199539524175,0.4464856230031949,0.5873391121618072,0.8286832819407106,0.8469055374592834,0.4452054794520548,0.5836139169472503,0.8340773949146181,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3582008022189755,0.4332669039334277,0.3215247638836753,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,30.0,30.0,27.0,5.0,f1,0.0,stage8_full_grid_21,,
