sequence_length,hidden_size,epochs,batch_size,learning_rate,experiment_tag,epochs_completed,best_epoch,selected_threshold_percentile,sequence_anomaly_ratio,precision,recall,f1,roc_auc,validation_precision,validation_recall,validation_f1,validation_roc_auc,stopped_early
6,16,20,128,0.001,stage8_full_grid_31,16,11,85,0.3322068965517241,0.768885564697083,0.3557093425605536,0.4863969718476461,0.7338748667432955,0.7701149425287356,0.3476649369903632,0.4790602655771195,0.7256542614322288,1
6,16,30,128,0.001,stage8_full_grid_35,16,11,85,0.3322068965517241,0.768885564697083,0.3557093425605536,0.4863969718476461,0.7338748667432955,0.7701149425287356,0.3476649369903632,0.4790602655771195,0.7256542614322288,1
8,16,10,128,0.001,stage8_full_grid_51,10,10,85,0.4173076923076923,0.8757267441860465,0.3365921787709497,0.4862792574656981,0.7360806424581006,0.8785357737104825,0.3159784560143626,0.4647887323943662,0.726811447544571,0
8,16,20,128,0.001,stage8_full_grid_55,16,11,85,0.4173076923076923,0.8731884057971014,0.3365921787709497,0.4858870967741935,0.7367667597765364,0.8868552412645591,0.3189706762417714,0.4691901408450704,0.7274429817237292,1
8,16,30,128,0.001,stage8_full_grid_59,16,11,85,0.4173076923076923,0.8731884057971014,0.3365921787709497,0.4858870967741935,0.7367667597765364,0.8868552412645591,0.3189706762417714,0.4691901408450704,0.7274429817237292,1
6,32,10,128,0.0005,stage8_full_grid_40,10,6,85,0.3322068965517241,0.7538349159970782,0.3570934256055363,0.4846208030054003,0.7294975254453305,0.7733990147783252,0.3491475166790215,0.4811031664964249,0.7212326356750454,0
6,32,20,128,0.0005,stage8_full_grid_44,11,6,85,0.3322068965517241,0.7538349159970782,0.3570934256055363,0.4846208030054003,0.7294975254453305,0.7733990147783252,0.3491475166790215,0.4811031664964249,0.7212326356750454,1
6,32,30,128,0.0005,stage8_full_grid_48,11,6,85,0.3322068965517241,0.7538349159970782,0.3570934256055363,0.4846208030054003,0.7294975254453305,0.7733990147783252,0.3491475166790215,0.4811031664964249,0.7212326356750454,1
6,32,10,128,0.001,stage8_full_grid_39,9,4,85,0.3322068965517241,0.7520117044623262,0.3557093425605536,0.4829692271552737,0.7297219029355186,0.7750410509031199,0.3498888065233506,0.4821246169560776,0.7215137297215117,1
6,32,20,128,0.001,stage8_full_grid_43,9,4,85,0.3322068965517241,0.7520117044623262,0.3557093425605536,0.4829692271552737,0.7297219029355186,0.7750410509031199,0.3498888065233506,0.4821246169560776,0.7215137297215117,1
6,32,30,128,0.001,stage8_full_grid_47,9,4,85,0.3322068965517241,0.7520117044623262,0.3557093425605536,0.4829692271552737,0.7297219029355186,0.7750410509031199,0.3498888065233506,0.4821246169560776,0.7215137297215117,1
8,32,10,128,0.001,stage8_full_grid_63,10,10,85,0.4173076923076923,0.8813936249073387,0.3321229050279329,0.4824508013795902,0.7370467318435754,0.8768718801996672,0.3153800119688809,0.4639084507042254,0.7304986888355172,0
8,32,10,128,0.0005,stage8_full_grid_64,10,8,85,0.4173076923076923,0.8639652677279306,0.3335195530726257,0.4812575574365175,0.7342296927374301,0.8768718801996672,0.3153800119688809,0.4639084507042254,0.7260142061843664,0
8,16,10,128,0.0005,stage8_full_grid_52,10,9,85,0.4173076923076923,0.8611940298507462,0.3223463687150838,0.4691056910569106,0.7311244972067039,0.8585690515806988,0.3087971274685817,0.454225352112676,0.7224768965456209,0
